id,name,is_answer,sprite_name,yPosition,xPosition
2101,건전지,1,DryCell,Down,0
2102,콜라 캔,0,ColaCan,Up,1
2103,볼캡,1,Cap,Up,2
2104,낡은 속옷,0,OldUnderwear,Down,3
2105,식용유,1,Oil,Middle,4
2106,알약,1,Pill,Up,5
2107,티셔츠,1,Tshirt,Up,6
2108,식칼,0,Knife,Down,6
2109,조개 껍데기,0,Shell,Middle,7
2110,형광등,1,Light,Down,7
2111,티셔츠,1,Tshirt,Middle,8
2112,페트병,0,PetBottle,Middle,9
2113,볼캡,1,Cap,Up,10
2114,콜라 캔,0,ColaCan,Up,11
2115,식용유,1,Oil,Middle,11
2116,건전지,1,DryCell,Up,12
2117,조개 껍데기,0,Shell,Up,13
2118,페트병,0,PetBottle,Up,14
2119,낡은 속옷,0,OldUnderwear,Middle,14
2120,알약,1,Pill,Middle,15
2121,건전지,1,DryCell,Middle,16
2122,볼캡,1,Cap,Down,16
2123,식용유,1,Oil,Up,17
2124,알약,1,Pill,Up,18
2125,식칼,0,Knife,Down,18
2126,형광등,1,Light,Down,19
