id,name,is_answer,sprite_name,yPosition,xPosition,,0,1,2,3,4,5,6,7,8,9
3101,우유팩,0,MilkCarton,Down,0,,n,Book,n,n,Receipt,PizzaBox,n,n,ColaCan,Shell
3102,책,1,Book,Up,1,,n,n,SpringNote,BrokenLight,n,n,n,PizzaBox,MilkCarton,n
3103,스프링 노트,1,SpringNote,Middle,2,,MilkCarton,n,n,Envelope,n,n,TableCalendar,Envelope,n,Box
3104,깨진 전구,0,BrokenLight,Middle,3,,,,,,,,,,,
3105,서류봉투,1,Envelope,Down,3,,10,11,12,13,14,15,16,17,18,19
3106,영수증,0,Receipt,Up,4,,Book,PaperCup,TableCalendar,n,TableCalendar,Box,n,SpringNote,PaperCup,n
3107,피자 박스,1,PizzaBox,Up,5,,n,Envelope,n,Book,SpringNote,n,OldUnderwear,n,n,n
3108,탁상 달력,1,TableCalendar,Down,6,,n,n,CoatedCard,n,n,n,n,n,n,PizzaBox
3109,피자 박스,1,PizzaBox,Middle,7,,,,,,,,,,,
3110,서류봉투,1,Envelope,Down,7,,,,,,,,,,,
3111,콜라 캔,0,ColaCan,Up,8,,n,o,n,n,x,o,n,n,x,x
3112,우유팩,0,MilkCarton,Middle,8,,n,n,o,x,n,n,n,o,x,n
3113,조개 껍데기,0,Shell,Up,9,,x,n,n,o,n,n,o,o,n,o
3114,종이 상자,1,Box,Down,9,,,,,,,,,,,
3115,책,1,Book,Up,10,,,,,,,,,,,
3116,종이컵,0,PaperCup,Up,11,,o,x,o,n,o,o,n,o,x,n
3117,서류봉투,1,Envelope,Middle,11,,n,o,n,o,o,n,x,n,n,n
3118,탁상 달력,1,TableCalendar,Up,12,,n,n,x,n,n,n,n,n,n,o
3119,코팅된 카드,0,CoatedCard,Down,12,,,,,,,,,,,
3120,책,1,Book,Middle,13,,Book,책,,,,,,,,
3121,탁상 달력,1,TableCalendar,Up,14,,Box,종이 상자,,,,,,,,
3122,스프링 노트,1,SpringNote,Middle,14,,Envelope,서류봉투,,,,,,,,
3123,종이 상자,1,Box,Up,15,,SpringNote,스프링 노트,,,,,,,,
3124,낡은 속옷,0,OldUnderwear,Middle,16,,PizzaBox,피자 박스,,,,,,,,
3125,스프링 노트,1,SpringNote,Up,17,,TableCalendar,탁상 달력,,,,,,,,
3126,종이컵,0,PaperCup,Up,18,,,,,,,,,,,
3127,피자 박스,1,PizzaBox,Down,19,,PetBottle,페트병,,,,,,,,
,,,,,,,ColaCan,콜라 캔,,,,,,,,
,,,,,,,OldUnderwear,낡은 속옷,,,,,,,,
,,,,,,,MilkCarton,우유팩,,,,,,,,
,,,,,,,PaperCup,종이컵,,,,,,,,
,,,,,,,Shell,조개 껍데기,,,,,,,,
,,,,,,,Knife,식칼,,,,,,,,
,,,,,,,BrokenLight,깨진 전구,,,,,,,,
